"ID","site","sample_date","rep","day","num_gw_wells","dischage","doc","doc_k","doc_per_flow","doc_dec_flow","doc_dec_rel_flow","uva","arti_sub_resp","suva","tdp","tdn","don","don_per","dop","dop_per","dom_c_n_dom","dom_c_p_dom","dom_n_p","din_dip","nh4","no3","po4_ug_l","po4__mg_l","bromide_mg_l","sulfate_mg_l","per_so4_flow","cl_mg_l","per_cl_flow","calcium","na","k","per_k_flow","mg","so4_cl_mol_ratio","so4_mg_mol_ratio","mg_cl_mol_ratio","mg_k_mol_ratio","so4_k_mol_ratio","cl_k_mol_ratio","pco2","int450","int500","f1","unfil_cod","fil_cod","adj_unfil_cod","adj_fil_cod","pos_flowpath"
206,"Buckeye Canal At Baseline","2001-06-12 00:00:00","A",163.00000,35,,4,,46,54,-5,0,0,0,1,11.11200,0,3,0,38,16,32,2,43.48915,0.11100,10.65800,566,0.56600,,872.00000,423,801.00000,234,,,,,,,,,,,,,201,114,2,,,,,
207,"Buckeye Canal At Baseline","2001-06-12 00:00:00","B",163.00000,35,,4,,45,55,-5,0,0,0,1,11.23900,0,4,0,37,11,32,3,42.51743,0.08800,10.73800,582,0.58200,,891.00000,433,818.00000,239,,,,,,,,,,,,,202,115,2,,,,,
208,"Buckeye Canal At Baseline","2001-06-12 00:00:00","C",163.00000,35,7,4,,44,56,-5,0,0,0,1,11.20900,0,4,0,39,12,29,2,43.25213,0.10300,10.68300,570,0.57000,,901.00000,437,818.00000,239,,,,,,,,,,,,,,,,,,,,30
209,"Gila At Hywy85","2001-06-15 00:00:00","A",166.00000,35,,5,,,,,0,,0,0,5.47000,0,2,0,24,,,10,152.34286,0.00800,5.32400,80,0.08000,,667.00000,324,1216.00000,356,,,,,,,,,,,,,,,,,,,,
210,"Gila At Hywy85","2001-06-15 00:00:00","B",166.00000,35,,5,,,,,0,,0,0,5.20100,,,,,,,,137.86196,0.01800,5.35000,89,0.08900,,686.00000,333,1212.00000,355,,,,,,,,,,,,,,,,,,,,
211,"Gila At Hywy85","2001-06-15 00:00:00","C",166.00000,35,,5,,,,,0,,0,0,5.19400,,,0,40,,,,135.18730,0.01300,5.31000,90,0.09000,,689.00000,334,1207.00000,353,,,,,,,,,,,,,,,,,,,,
212,"Hassayampa","2001-06-12 00:00:00","A",163.00000,35,,4,,39,61,-6,0,0,0,1,16.82600,1,9,0,37,3,42,15,92.69366,0.03800,15.12900,374,0.37400,,670.00000,325,804.00000,235,,,,,,,,,,,,,145,86,2,,,,,
213,"Hassayampa","2001-06-12 00:00:00","B",163.00000,35,,4,,38,62,-6,0,0,0,1,16.95700,2,10,0,35,3,45,18,93.73847,0.00600,15.49600,378,0.37800,,692.00000,336,801.00000,234,,,,,,,,,,,,,151,89,2,,,,,
214,"Hassayampa","2001-06-12 00:00:00","C",163.00000,35,1,4,,38,62,-6,0,0,0,1,16.44800,1,7,0,36,4,43,12,92.58651,0.00300,15.34900,379,0.37900,,689.00000,334,802.00000,235,,,,,,,,,,,,,,,,,,,,48
215,"Gila At Arlington","2001-06-12 00:00:00","A",163.00000,35,,5,,49,51,-5,0,0,0,0,14.04000,1,5,,,8,,,180.92101,,13.45600,170,0.17000,,827.00000,401,955.00000,280,,,,,,,,,,,,,212,132,2,,,,,
