"ID","site","sample_date","rep","day","num_gw_wells","dischage","doc","doc_k","doc_per_flow","doc_dec_flow","doc_dec_rel_flow","uva","arti_sub_resp","suva","tdp","tdn","don","don_per","dop","dop_per","dom_c_n_dom","dom_c_p_dom","dom_n_p","din_dip","nh4","no3","po4_ug_l","po4__mg_l","bromide_mg_l","sulfate_mg_l","per_so4_flow","cl_mg_l","per_cl_flow","calcium","na","k","per_k_flow","mg","so4_cl_mol_ratio","so4_mg_mol_ratio","mg_cl_mol_ratio","mg_k_mol_ratio","so4_k_mol_ratio","cl_k_mol_ratio","pco2","int450","int500","f1","unfil_cod","fil_cod","adj_unfil_cod","adj_fil_cod","pos_flowpath"
262,"Gila At Gillespie","2001-09-11 00:00:00","C",254.00000,20,1,4,0,62,38,-2,0,,0,1,9.81000,1,15,0,5,3,228,77,23.84286,0.06100,8.28400,800,0.80000,,716.00000,319,1052.00000,211,258,840,14,69,97,1,6,0,11,61,81,,,,,,,,,67
263,"Gila At 115thAve","2001-10-30 00:00:00","A",303.00000,22,,7,0,99,1,0,0,0,0,1,13.67000,9,63,,,1,,,5.43263,1.17300,3.84200,2110,2.11000,,205.00000,89,333.00000,101,94,244,18,100,37,1,4,0,3,14,20,,,,,,,,,
264,"Gila At 115thAve","2001-10-30 00:00:00","B",303.00000,22,,8,0,101,-1,0,0,0,0,1,13.90000,9,64,,,1,,,5.20369,1.17400,3.83000,2198,2.19800,,243.00000,105,329.00000,100,97,250,19,104,39,1,5,0,3,16,19,,,,,,,,,
265,"Gila At 115thAve","2001-10-30 00:00:00","C",303.00000,22,4,7,0,100,0,0,0,0,0,1,13.62000,9,63,,,1,,,5.45839,1.19400,3.84000,2108,2.10800,,245.00000,106,329.00000,100,93,236,18,95,36,1,5,0,3,17,21,,,,,,,,,5
266,"Buckeye Canal At Jackrabbit","2001-10-30 00:00:00","A",303.00000,22,,6,0,86,14,-1,0,0,0,2,10.02000,3,27,0,2,3,539,199,9.20748,0.26900,6.99800,1804,1.80400,,276.00000,119,450.00000,136,121,335,17,93,50,1,4,0,5,20,29,,,,,,,,,
267,"Buckeye Canal At Jackrabbit","2001-10-30 00:00:00","B",303.00000,22,,6,0,85,15,-1,0,0,0,2,9.57000,2,24,0,5,3,167,52,9.04819,0.27300,6.99100,1835,1.83500,,270.00000,117,451.00000,137,123,325,17,91,49,1,4,0,5,20,30,,,,,,,,,
268,"Buckeye Canal At Jackrabbit","2001-10-30 00:00:00","C",303.00000,22,10,6,0,86,14,-1,0,0,0,2,10.20000,3,29,1,27,3,25,10,9.01512,0.27200,6.99700,1843,1.84300,,267.00000,116,447.00000,135,134,328,17,94,50,1,4,0,5,19,29,,,,,,,,,20
269,"Buckeye Canal At Baseline","2001-10-30 00:00:00","A",303.00000,22,,6,0,80,20,-2,0,0,0,3,6.27000,0,5,1,42,23,13,1,8.51624,0.21500,5.76500,1605,1.60500,,300.00000,130,478.00000,145,129,358,16,87,53,1,4,0,5,23,33,,,,,,,,,
270,"Buckeye Canal At Baseline","2001-10-30 00:00:00","B",303.00000,22,,6,0,78,22,-2,0,0,0,2,6.20000,0,4,1,35,30,17,1,8.45133,0.22000,5.74400,1613,1.61300,,301.00000,130,471.00000,143,128,351,16,86,53,1,4,0,5,23,33,,,,,,,,,
271,"Buckeye Canal At Baseline","2001-10-30 00:00:00","C",303.00000,22,7,6,0,78,22,-2,0,0,0,3,6.16000,0,3,1,38,37,15,0,8.53400,0.22300,5.76200,1603,1.60300,,302.00000,131,471.00000,143,133,354,16,88,54,1,4,0,5,23,32,,,,,,,,,30
272,"Gila At Hywy85","2001-10-30 00:00:00","A",303.00000,22,,6,0,76,24,-2,0,,0,1,4.78000,0,10,0,5,14,214,15,7.40709,0.04400,4.26600,1330,1.33000,,438.00000,190,847.00000,256,170,610,16,88,82,1,4,0,8,33,58,,,,,,,,,
