"photo_id","site_id","digital_file_name","date","path_to_photo","negative_no","notes","copies","author","credits","year"
421,"67","6719993a","March,1999","/projectResults/GE5/Site67/6719993A.BMP","7A/17","","1","William L. Graf","",1999
422,"68","68189600","1896","/projectResults/GE5/Site68/68189600.BMP","","","1","","contact William L. Graf about authorship",1896
423,"69","69190500","1905","/projectResults/GE5/Site69/69190500.bmp","","","2","","contact William L. Graf about authorship",1905
424,"69","69199902","Feb,1999","/projectResults/GE5/Site69/69199902.bmp","4/23","","1","William L. Graf","",1999
425,"70","70000000","","/projectResults/GE5/Site70/70000000.BMP","","","1","","",
426,"70","70199903","March,1999","","12/5","","1","William L. Graf","",1999
427,"70","7019993a","March,1999","/projectResults/GE5/Site70/7019993A.BMP","12/6","","1","William L. Graf","",1999
428,"71","71189500","1895","/projectResults/GE5/Site71/71189500.BMP","","","1","","contact William L. Graf about authorship",1895
429,"71","71199902","Feb,1999","","","","1","William L. Graf","",1999
430,"72","72191600","1916","/projectResults/GE5/Site72/72191600.BMP","","","1","","contact William L. Graf about authorship",1916
431,"73","73191100","1911","/projectResults/GE5/Site73/73191100.BMP","","","1","","contact William L. Graf about authorship",1911
432,"74","74198002","Feb,1980","/projectResults/GE5/Site74/74198002.BMP","35/19","","1","William L. Graf","",1980
433,"74","7418902a","Feb,1980","/projectResults/GE5/Site74/7419802A.BMP","35/20","","1","William L. Graf","",1980
434,"74","7418902b","Feb, 1890","/projectResults/GE5/Site74/7419802B.BMP","35/21","","1","","contact William L. Graf about authorship",1890
435,"74","74199902","Feb,1999","/projectResults/GE5/Site74/74199902.bmp","4/21","","1","William L. Graf","",1999
436,"75","75190200","1902","/projectResults/GE5/Site75/75190200.BMP","","","1","","contact William L. Graf about authorship",1902
437,"75","75199902","Feb,1999","/projectResults/GE5/Site75/75199902.bmp","4/15","","1","William L. Graf","",1999
438,"76","76189500","1892","","","","1","","contact William L. Graf about authorship",1892
439,"76","76198009","Sep,1890","/projectResults/GE5/Site76/76198009.BMP","39/1-2","","1","William L. Graf","",1890
440,"76","76199903","March,1999","/projectResults/GE5/Site76/76199903.BMP","9/16-17","","2","William L. Graf","",1999
441,"76","76199904","April,1999","/projectResults/GE5/Site76/76199904.BMP","13/8","PAN1/3","1","William L. Graf","",1999
442,"76","7619994a","April,1999","/projectResults/GE5/Site76/7619994A.BMP","13/9","PAN2/3","1","William L. Graf","",1999
443,"76","7619994b","April,1999","/projectResults/GE5/Site76/7619994B.BMP","13/10","PAN3/3","1","William L. Graf","",1999
444,"76","","March,1999","","11/10A","","1","William L. Graf","",1999
445,"76","","March,1999","","11/9A","","1","William L. Graf","",1999
446,"77","77191200","1912","/projectResults/GE5/Site77/77191200.BMP","","","1","","contact William L. Graf about authorship",1912
447,"77","77198611","Nov,1986","/projectResults/GE5/Site77/77198611.BMP","","","2","William L. Graf","",1986
