"photo_id","site_id","digital_file_name","date","path_to_photo","negative_no","notes","copies","author","credits","year"
219,"29","29198010","Oct,1980","/projectResults/GE5/Site29/29198010.BMP","","","1","William L. Graf","",1980
220,"29","","Dec,1980","","40/12+","","0","William L. Graf","",1980
221,"30","30194907","July,1949","/projectResults/GE5/Site30/30194907.BMP","32/24+","","2","","contact William L. Graf about authorship",1949
222,"30","3019497a","July,1949","","32/24","","1","","contact William L. Graf about authorship",1949
223,"30","3019497b","July,1949","","32/25","","1","","contact William L. Graf about authorship",1949
224,"30","3019497c","July,1949","/projectResults/GE5/Site30/3019497C.BMP","32/26","","1","","contact William L. Graf about authorship",1949
225,"30","30198010","Oct,1980","/projectResults/GE5/Site30/30198010.BMP","39/6","","1","William L. Graf","",1980
226,"30","30199902","Feb,1999","","4/12","","1","William L. Graf","",1999
227,"31","31194907","July,1949","/projectResults/GE5/Site31/31194907.BMP","32/29","","2","","contact William L. Graf about authorship",1949
228,"31","31198010","Oct,1980","","40/20","","1","William L. Graf","",1980
229,"31","31199902","Feb,1999","","4/10","","1","William L. Graf","",1999
230,"32","32194907","July,1949","","32/33","","2","","contact William L. Graf about authorship",1949
231,"32","32198012","Dec,1980","/projectResults/GE5/Site32/32198012.BMP","40/21","","1","William L. Graf","",1980
232,"32","32199902","Feb,1999","/projectResults/GE5/Site32/32199902.bmp","4/1","","1","William L. Graf","",1999
233,"32","3219992a","Feb,1999","","4/2","","1","William L. Graf","",1999
234,"33","33194907","July,1949","/projectResults/GE5/Site33/33194907.BMP","41/20;32/35+","","3","","contact William L. Graf about authorship",1949
235,"33","3319497a","July,1949","/projectResults/GE5/Site33/3319497a.bmp","41/20;34/2","","3","","contact William L. Graf about authorship",1949
236,"33","33198002","Feb,1980","","35/10","","1","William L. Graf","",1980
237,"33","3319802a","Feb,1980","/projectResults/GE5/Site33/3319802A.BMP","35/11","","1","William L. Graf","",1980
238,"33","33199902","Feb,1999","/projectResults/GE5/Site33/33199902.bmp","4/3","","1","William L. Graf","",1999
239,"33","3319992a","Feb,1999","/projectResults/GE5/Site33/3319992a.bmp","4/4","","1","William L. Graf","",1999
240,"34","34194907","July,1949","/projectResults/GE5/Site34/34194907.BMP","44","","2+","","contact William L. Graf about authorship",1949
241,"34","3419497a","July,1949","/projectResults/GE5/Site34/3419497a.bmp","44","PAN1/6","2+","","contact William L. Graf about authorship",1949
242,"34","3419497b","July,1949","/projectResults/GE5/Site34/3419497b.bmp","44","PAN2/6","2+","","contact William L. Graf about authorship",1949
243,"34","3419497c","July,1949","","44","PAN3/6","2+","","contact William L. Graf about authorship",1949
244,"34","3419497d","July,1949","/projectResults/GE5/Site34/3419497d.bmp","44","PAN4/6","2+","","contact William L. Graf about authorship",1949
245,"34","3419497e","July,1949","/projectResults/GE5/Site34/3419497e.bmp","44","PAN5/6","2+","","contact William L. Graf about authorship",1949
246,"34","3419497f","July,1949","/projectResults/GE5/Site34/3419497f.bmp","44","PAN6/6","2+","","contact William L. Graf about authorship",1949
247,"34","34198101","Jan,1981","/projectResults/GE5/Site34/34198101.BMP","31/11+","","2","William L. Graf","",1981
248,"34","3419811a","Jan,1981","/projectResults/GE5/Site34/3419811A.BMP","41/13+","","2","William L. Graf","",1981
249,"34","34198104","April,1981","/projectResults/GE5/Site34/34198104.bmp","42","","1","William L. Graf","",1981
250,"34","3419814a","April,1981","/projectResults/GE5/Site34/3419814a.bmp","42","","1","William L. Graf","",1981
251,"34","34199903","April,1999","/projectResults/GE5/Site34/34199903.BMP","12/24A","","1","William L. Graf","",1999
252,"34","34199904","April,1999","/projectResults/GE5/Site34/34199904.BMP","11/20A","","1","William L. Graf","",1999
253,"34","3419993a","April,1999","","11/21A","","1","William L. Graf","",1999
254,"34","3419993b","April,1999","/projectResults/GE5/Site34/3419993B.BMP","11/22A","","1","William L. Graf","",1999
255,"34","3419993c","April,1999","/projectResults/GE5/Site34/3419993C.BMP","11/23A","","1","William L. Graf","",1999
256,"34","3419994a","April,1999","/projectResults/GE5/Site34/3419994A.BMP","11B/8","","1","William L. Graf","",1999
257,"34","3419994b","April,1999","","11B/7","","1","William L. Graf","",1999
258,"34","3419994c","April,1999","/projectResults/GE5/Site34/3419994c.bmp","11B/9","","1","William L. Graf","",1999
259,"35","35198001","Jan,1980","/projectResults/GE5/Site35/35198001.BMP","30/13A+","","1","William L. Graf","",1980
260,"35","3519801a","Jan,1980","/projectResults/GE5/Site35/3519801A.BMP","30/15A","PAN1/3","1","William L. Graf","",1980
261,"35","3519801b","Jan,1980","/projectResults/GE5/Site35/3519801B.BMP","30/14A","PAN2/3","1","William L. Graf","",1980
262,"35","3519801c","Jan,1980","","30/13A","PAN3/3","1","William L. Graf","",1980
263,"35","35198012","Dec,1980","/projectResults/GE5/Site35/35198012.BMP","40/7","PAN1/3","1","William L. Graf","",1980
264,"35","3519800a","Dec,1980","/projectResults/GE5/Site35/3519800a.bmp","40/6","PAN2/3","1","William L. Graf","",1980
265,"35","3519800b","Dec,1980","/projectResults/GE5/Site35/3519800b.bmp","40/8","PAN3/3","1","William L. Graf","",1980
266,"35","35199902","Feb,1999","/projectResults/GE5/Site35/35199902.BMP","9/2","","1","William L. Graf","",1999
267,"35","3519992a","Feb,1999","/projectResults/GE5/Site35/3519992A.BMP","9/3","","1","William L. Graf","",1999
268,"35","3519992b","Feb,1999","/projectResults/GE5/Site35/3519992B.BMP","9/4","","1","William L. Graf","",1999
269,"35","3519992c","Feb,1999","/projectResults/GE5/Site35/3519992C.BMP","9/5","","1","William L. Graf","",1999
270,"35","3519992d","Feb,1999","/projectResults/GE5/Site35/3519992D.BMP","9/6","","1","William L. Graf","",1999
271,"35","3519992e","Feb,1999","/projectResults/GE5/Site35/3519992E.BMP","9/7","","1","William L. Graf","",1999
272,"35","3519992f","Feb,1999","/projectResults/GE5/Site35/3519992F.BMP","9/8","","1","William L. Graf","",1999
273,"36","36198001","Jan,1980","/projectResults/GE5/Site36/36198001.BMP","30/18","","1","William L. Graf","",1980
274,"36","36198002","Feb,1980","/projectResults/GE5/Site36/36198002.BMP","33/17","","1","William L. Graf","",1980
275,"36","3619802a","Feb,1980","/projectResults/GE5/Site36/3619802A.BMP","34/20","","1","William L. Graf","",1980
276,"36","36198004","April,1980","","38/6","","1","William L. Graf","",1980
277,"36","36198010","Oct,1980","/projectResults/GE5/Site36/36198010.BMP","40/2","","1","William L. Graf","",1980
278,"36","36198012","Dec,1980","/projectResults/GE5/Site36/36198012.bmp","36/14+","","1","William L. Graf","",1980
279,"36","36198200","1982","","50/4","","1","William L. Graf","",1982
280,"36","36198310","Oct,1983","/projectResults/GE5/Site36/36198310.BMP","42/0","","1","William L. Graf","",1983
281,"36","36198312","Dec,1983","/projectResults/GE5/Site36/36198312.BMP","45/0","","1","William L. Graf","",1983
282,"36","36199300","1993","/projectResults/GE5/Site36/36199300.BMP","109/4","","1","William L. Graf","",1993
283,"38","38194108","Aug,1941","/projectResults/GE5/Site38/38194108.BMP","33/28","","1","","contact William L. Graf about authorship",1941
284,"38","38198001","Jan,1980","/projectResults/GE5/Site38/38198001.BMP","30/25A","","1","William L. Graf","",1980
285,"38","3819801a","Jan,1980","","30/25A","PAN1/2","1","William L. Graf","",1980
286,"38","3819801b","Jan,1980","/projectResults/GE5/Site38/3819801B.BMP","30/26A","PAN2/2","1","William L. Graf","",1980
287,"38","3819801c","Jan,1980","/projectResults/GE5/Site38/3819801C.BMP","30/26","","1","William L. Graf","",1980
288,"38","3819801d","Jan,1980","/projectResults/GE5/Site38/3819801D.BMP","30/26","PAN1/2","1","William L. Graf","",1980
289,"38","3819801e","Jan,1980","/projectResults/GE5/Site38/3819801E.BMP","30/26","PAN2/2","1","William L. Graf","",1980
290,"38","38198002","Feb,1980","/projectResults/GE5/Site38/38198002.BMP","34/21","","1","William L. Graf","",1980
291,"38","38199903","March,1999","/projectResults/GE5/Site38/38199903.BMP","9/18","","1","William L. Graf","",1999
292,"39","","July,1949","","34/2;42/20","","0","","contact William L. Graf about authorship",1949
293,"39","","Feb,1980","","35/11+","","0","William L. Graf","",1980
294,"40","40194907","July,1949","/projectResults/GE5/Site40/40194907.BMP","34/3","","2","","contact William L. Graf about authorship",1949
295,"40","40198012","Dec,1980","/projectResults/GE5/Site40/40198012.BMP","40/22","","1","William L. Graf","",1980
296,"41","41194907","July,1949","/projectResults/GE5/Site41/41194907.BMP","34/4","","1","","contact William L. Graf about authorship",1949
297,"41","41198012","Dec,1980","/projectResults/GE5/Site41/41198012.BMP","40/24","","1","William L. Graf","",1980
298,"42","42194907","July,1949","/projectResults/GE5/Site42/42194907.BMP","34/5","","2","","contact William L. Graf about authorship",1949
299,"42","42198012","Dec,1980","/projectResults/GE5/Site42/42198012.BMP","40/23","","1","William L. Graf","",1980
300,"43","43194100","1941","/projectResults/GE5/Site43/43194100.BMP","","","1","","contact William L. Graf about authorship",1941
301,"43","43194907","July,1949","","34/6","","2","","contact William L. Graf about authorship",1949
302,"43","43198012","Dec,1980","/projectResults/GE5/Site43/43198012.BMP","40/29","","1","William L. Graf","",1980
303,"43","43199301","Jan,1993","/projectResults/GE5/Site43/43199301.bmp","116/3","","1","William L. Graf","",1993
304,"43","43199902","Feb,1999","","5/2","","1","William L. Graf","",1999
305,"43","4319992a","Feb,1999","/projectResults/GE5/Site43/4319992a.bmp","5/3","","1","William L. Graf","",1999
306,"43","4319992b","Feb,1999","/projectResults/GE5/Site43/4319992b.bmp","5/4","","1","William L. Graf","",1999
307,"44","44194108","Aug,1941","","34/7","","2","","contact William L. Graf about authorship",1941
308,"44","44198012","Dec,1980","/projectResults/GE5/Site44/44198012.BMP","40/30","","1","William L. Graf","",1980
309,"44","44199902","Feb,1999","/projectResults/GE5/Site44/44199902.bmp","5/5","","1","William L. Graf","",1999
310,"44","4419992a","Feb,1999","/projectResults/GE5/Site44/4419992a.bmp","5/6","","1","William L. Graf","",1999
311,"44","4419992b","Feb,1999","/projectResults/GE5/Site44/4419992b.bmp","5/7","","1","William L. Graf","",1999
312,"45","45194907","July,1949","/projectResults/GE5/Site45/45194907.BMP","34/8","","2","","contact William L. Graf about authorship",1949
313,"45","45198012","Dec,1980","","40/33","","1","William L. Graf","",1980
314,"45","45199903","March,1999","/projectResults/GE5/Site45/45199903.BMP","7/14","","1","William L. Graf","",1999
315,"45","4519993a","March,1999","","7/15","","1","William L. Graf","",1999
316,"45","4519993b","March,1999","/projectResults/GE5/Site45/4519993B.BMP","7/16","","1","William L. Graf","",1999
317,"45","4519993c","March,1999","/projectResults/GE5/Site45/4519993C.BMP","7/17","","1","William L. Graf","",1999
318,"45","4519993d","March,1999","","7/18","","1","William L. Graf","",1999
319,"45","4519993e","March,1999","/projectResults/GE5/Site45/4519993E.BMP","7/19","","1","William L. Graf","",1999
320,"46","","Aug,1949","","34/9,10","","0","","contact William L. Graf about authorship",1949
321,"46","","Dec,1980","","40/35+","","0","William L. Graf","",1980
322,"47","47194108","Aug,1941","/projectResults/GE5/Site47/47194108.bmp","34/11","","1","","contact William L. Graf about authorship",1941
323,"47","47194908","Aug,1949","/projectResults/GE5/Site47/47194908.bmp","34/12+","","2","","contact William L. Graf about authorship",1949
324,"47","47198101","Jan,1981","/projectResults/GE5/Site47/47198101.BMP","41/9","","1","William L. Graf","",1981
325,"47","47199903","March,1999","/projectResults/GE5/Site47/47199903.BMP","7/9","","1","William L. Graf","",1999
326,"47","4719993a","March,1999","/projectResults/GE5/Site47/4719993A.BMP","7/10","","1","William L. Graf","",1999
327,"47","4719993b","March,1999","/projectResults/GE5/Site47/4719993B.BMP","7/13","","1","William L. Graf","",1999
328,"48","48194907","July,1949","","","","1","","contact William L. Graf about authorship",1949
329,"48","","Jan,1981","","41/2","","0","William L. Graf","",1981
330,"48","48199903","March,1999","/projectResults/GE5/Site48/48199903.BMP","7A/1-2","","2","William L. Graf","",1999
331,"49","49194907","July,1949","/projectResults/GE5/Site49/49194907.bmp","","","2","","contact William L. Graf about authorship",1949
332,"49","49198101","Jan,1981","/projectResults/GE5/Site49/49198101.BMP","","","1","William L. Graf","",1981
333,"49","49199903","March,1999","/projectResults/GE5/Site49/49199903.BMP","7/6-7","","2","William L. Graf","",1999
334,"50","50194907","July,1949","","","","1","","contact William L. Graf about authorship",1949
335,"50","","Jan,1981","","41/3A","","0","William L. Graf","",1981
336,"50","50199903","March,1999","","7A/12","","1","William L. Graf","",1999
337,"50","5019993a","March,1999","","7A/13-14","","2","William L. Graf","",1999
338,"51","51194908","Aug,1949","/projectResults/GE5/Site51/51194908.BMP","34/19","","2","","contact William L. Graf about authorship",1949
339,"51","51198101","Jan,1981","/projectResults/GE5/Site51/51198101.BMP","41/6","","1","William L. Graf","",1981
340,"52","","Octo,1980","","39/1+","","0","William L. Graf","",1980
341,"52","52000000","","","","","1","","",
342,"52","","May,1999","","","","1","William L. Graf","",1999
343,"52","","May,1999","","","","1","William L. Graf","",1999
344,"52","","May,1999","","","","1","William L. Graf","",1999
345,"53","53191803","March,1918","/projectResults/GE5/Site53/53191803.BMP","43/23","","1","","contact William L. Graf about authorship",1918
346,"53","53198104","April,1981","/projectResults/GE5/Site53/53198104.bmp","41/18","","1","William L. Graf","",1981
347,"53","53198101","Jan,1981","/projectResults/GE5/Site53/53198101.bmp","","","1","William L. Graf","",1981
348,"53","53198601","Jan,1986","/projectResults/GE5/Site53/53198601.bmp","","","1","William L. Graf","",1986
349,"53","5319861a","Jan,1986","/projectResults/GE5/Site53/5319861a.bmp","","","1","William L. Graf","",1986
350,"53","5319861b","Jan,1986","/projectResults/GE5/Site53/5319861b.bmp","","","1","William L. Graf","",1986
351,"53","53199904","April,1999","/projectResults/GE5/Site53/53199904.BMP","12/19","","1","William L. Graf","",1999
352,"53","5319994a","April,1999","","12/20","","1","William L. Graf","",1999
353,"53","5319994b","April,1999","","12/21","","1","William L. Graf","",1999
354,"53","5319994c","April,1999","/projectResults/GE5/Site53/5319994C.BMP","12/22","","1","William L. Graf","",1999
355,"53","5319994d","April,1999","/projectResults/GE5/Site53/5319994D.BMP","12/23","","1","William L. Graf","",1999
356,"53","5319994e","April,1999","/projectResults/GE5/Site53/5319994E.BMP","12/24","","1","William L. Graf","",1999
357,"54","54190503","March,1905","","43/21","","2","","contact William L. Graf about authorship",1905
358,"54","54198101","Jan,1981","/projectResults/GE5/Site54/54198101.bmp","41/20","","1","William L. Graf","",1981
359,"54","54199903","March,1999","","11/17A","","1","William L. Graf","",1999
360,"54","5419993a","March,1999","/projectResults/GE5/Site54/5419993A.BMP","11/16A","","1","William L. Graf","",1999
361,"55","55194907","July,1949","","43/4-5","","","","contact William L. Graf about authorship",1949
362,"55","5519497a","July,1949","","43/5;44","","3+","","contact William L. Graf about authorship",1949
363,"55","5519497b","July,1949","/projectResults/GE5/Site55/5519497b.bmp","43/4;44","","4","","contact William L. Graf about authorship",1949
364,"55","5519497c","July,1949","/projectResults/GE5/Site55/5519497c.bmp","","","1","","contact William L. Graf about authorship",1949
365,"55","55198010","Oct,1980","","41/10","","1","William L. Graf","",1980
366,"55","55198012","Dec,1980","/projectResults/GE5/Site55/55198012.BMP","41/11+","","1","William L. Graf","",1980
367,"55","","Dec,1980","","42/7+","","0","William L. Graf","",1980
368,"55","5519993a","March,1999","/projectResults/GE5/Site55/5519993A.BMP","11/7A","","1","William L. Graf","",1999
369,"55","5519993b","March,1999","/projectResults/GE5/Site55/5519993B.BMP","11/8A","","1","William L. Graf","",1999
370,"56","56191900","1919","/projectResults/GE5/Site56/56191900.BMP","","","1","","contact William L. Graf about authorship",1919
371,"56","56197310","Oct, 1973","/projectResults/GE5/Site56/56197310.BMP","","","2","","contact William L. Graf about authorship",1973
372,"56","56199903","March,1999","/projectResults/GE5/Site56/56199903.BMP","7/6","","1","William L. Graf","",1999
373,"57","57193908","Aug,1939","","","","1","","contact William L. Graf about authorship",1939
374,"57","57194907","July,1949","","43/30","","1","","contact William L. Graf about authorship",1949
375,"57","57198012","Dec,1980","/projectResults/GE5/Site57/57198012.BMP","41/6","","1","William L. Graf","",1980
376,"58","5819497a","July,1949","/projectResults/GE5/Site58/5819497a.bmp","43/24","PAN1/3","2","","contact William L. Graf about authorship",1949
377,"58","5819497b","July,1949","/projectResults/GE5/Site58/5819497b.bmp","43/25","PAN2/3","2","","contact William L. Graf about authorship",1949
